scope,category,base_api,description,forms,source
header,2e,int2e_ssp1ssp2,(i SIGMA DOT P j|GAUNT |k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:728
header,2e,int2e_vsp1,(i SIGMA DOT P j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:572
header,2e,int2e_vsp1spsp2,(i SIGMA DOT P j|R12 |SIGMA DOT P k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:614
header,2e,int2e_vsp1spv2,(i SIGMA DOT P j|R12 |SIGMA DOT P k l),optimizer;cart;sph;spinor,include/cint_funcs.h:590
header,2e,int2e_vsp1vsp2,(i SIGMA DOT P j|R12 |k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:602
header,3c1e,int3c1e_ip1,3-center 1-electron integral <(NABLA i) (j) (k)>,optimizer;cart;sph;spinor,include/cint_funcs.h:1064
header,3c1e,int3c1e_iprinv,3-center 1-electron integral <(P i) (j) (k)>,optimizer;cart;sph;spinor,include/cint_funcs.h:1058
header,3c1e,int3c1e_p2,3-center 1-electron integral <(i) (j) (P DOT P k)>,optimizer;cart;sph;spinor,include/cint_funcs.h:1052
header,3c2e,int3c2e_ig1,(G i j|R12 |k),optimizer;cart;sph;spinor,include/cint_funcs.h:992
header,3c2e,int3c2e_ip1,(NABLA i j|R12 |k),optimizer;cart;sph;spinor,include/cint_funcs.h:956
header,3c2e,int3c2e_ip1ip2,(NABLA i j|R12 |NABLA k),optimizer;cart;sph;spinor,include/cint_funcs.h:1034
header,3c2e,int3c2e_ip2,(i j|R12 |NABLA k),optimizer;cart;sph;spinor,include/cint_funcs.h:962
header,3c2e,int3c2e_ipip1,(NABLA NABLA i j|R12 |k),optimizer;cart;sph;spinor,include/cint_funcs.h:1016
header,3c2e,int3c2e_ipip2,(i j|R12 |NABLA NABLA k),optimizer;cart;sph;spinor,include/cint_funcs.h:1022
header,3c2e,int3c2e_ipspsp1,(NABLA SIGMA DOT P i SIGMA DOT P j|R12 |k),optimizer;cart;sph;spinor,include/cint_funcs.h:1004
header,3c2e,int3c2e_ipvip1,(NABLA i NABLA j|R12 |k),optimizer;cart;sph;spinor,include/cint_funcs.h:1028
header,3c2e,int3c2e_pvp1,(P* i DOT P j|R12 |k),optimizer;cart;sph;spinor,include/cint_funcs.h:968
